iter	Passed	Remaining
485	597	631
486	598	630
487	599	628
488	600	627
489	601	625
490	602	624
491	602	622
492	603	620
493	604	619
494	605	617
495	606	616
496	607	615
497	609	614
498	610	613
499	611	611
500	612	610
501	613	609
502	615	607
503	615	606
504	616	604
505	617	602
506	618	601
507	619	599
508	619	597
509	620	596
510	621	594
511	622	593
512	624	592
513	625	591
514	626	589
515	627	588
516	628	586
517	629	585
518	630	584
519	632	583
520	633	582
521	634	580
522	635	579
523	635	577
524	637	576
525	638	574
526	639	573
527	640	572
528	641	571
529	642	569
530	643	568
531	644	567
532	645	565
533	646	563
534	646	562
535	647	560
536	648	559
537	649	557
538	650	556
539	651	554
540	652	553
541	653	552
542	655	551
543	656	550
544	657	549
545	659	548
546	660	547
547	661	545
548	662	544
549	663	542
550	664	541
551	665	539
552	666	538
553	667	537
554	669	536
555	670	535
556	672	534
557	673	533
558	674	532
559	675	530
560	676	529
561	677	528
562	678	526
563	680	525
564	681	524
565	681	522
566	683	521
567	684	520
568	686	519
569	687	518
570	688	517
571	689	515
572	690	514
573	691	512
574	692	511
575	692	510
576	693	508
577	694	507
578	695	505
579	696	504
580	697	502
581	698	501
582	700	500
583	701	499
584	702	498
585	703	497
586	704	495
587	705	494
588	706	492
589	707	491
590	708	489
591	709	488
592	710	487
593	710	485
594	711	484
595	712	482
596	713	481
597	714	480
598	715	478
599	716	477
600	717	476
601	718	475
602	719	473
603	720	472
604	721	471
605	722	469
606	723	468
607	724	466
608	725	465
609	726	464
610	726	462
611	727	461
612	728	460
613	730	459
614	731	458
615	732	456
616	733	455
617	734	453
618	734	452
619	735	450
620	736	449
621	737	448
622	737	446
623	738	445
624	739	443
625	741	442
626	741	441
627	742	439
628	743	438
629	745	437
630	746	436
631	748	435
632	748	434
633	749	432
634	750	431
635	751	430
636	752	428
637	753	427
638	754	426
639	755	424
640	755	423
641	756	421
642	757	420
643	758	419
644	759	418
645	760	416
646	761	415
647	762	414
648	763	413
649	764	411
650	765	410
651	766	409
652	767	407
653	768	406
654	769	405
655	769	403
656	770	402
657	771	400
658	772	399
659	772	398
660	774	396
661	775	395
662	776	394
663	778	393
664	778	392
665	779	391
666	780	389
667	781	388
668	782	386
669	782	385
670	783	384
671	784	382
672	785	381
673	785	380
674	786	378
675	787	377
676	788	376
677	789	374
678	790	373
679	792	372
680	793	371
681	794	370
682	794	368
683	795	367
684	796	366
685	797	364
686	798	363
687	798	362
688	799	360
689	800	359
690	800	358
691	801	356
692	802	355
693	803	354
694	804	353
695	805	351
696	806	350
697	807	349
698	808	348
699	809	346
700	810	345
701	811	344
702	811	343
703	812	341
704	813	340
705	814	339
706	815	337
707	816	336
708	817	335
709	817	334
710	818	332
711	819	331
712	820	330
713	821	329
714	822	328
715	824	326
716	824	325
717	825	324
718	826	323
719	827	321
720	827	320
721	828	319
722	829	317
723	830	316
724	831	315
725	832	314
726	832	312
727	833	311
728	834	310
729	836	309
730	837	308
731	838	307
732	839	305
733	840	304
734	841	303
735	842	302
736	843	300
737	844	299
738	845	298
739	846	297
740	847	296
741	848	294
742	849	293
743	850	292
744	852	291
745	853	290
746	854	289
747	855	288
748	856	287
749	857	285
750	858	284
751	859	283
752	860	282
753	861	281
754	862	279
755	862	278
756	863	277
757	864	275
758	865	274
759	866	273
760	868	272
761	869	271
762	870	270
763	871	269
764	871	267
765	872	266
766	873	265
767	874	264
768	875	262
769	875	261
770	876	260
771	877	259
772	878	257
773	878	256
774	879	255
775	880	254
776	882	253
777	883	252
778	885	251
779	885	249
780	886	248
781	887	247
782	888	246
783	889	245
784	890	243
785	891	242
786	892	241
787	893	240
788	894	239
789	894	237
790	895	236
791	897	235
792	898	234
793	900	233
794	901	232
795	901	231
796	903	230
797	903	228
798	904	227
799	905	226
800	906	225
801	907	224
802	908	222
803	909	221
804	910	220
805	911	219
806	912	218
807	914	217
808	915	216
809	916	214
810	916	213
811	917	212
812	918	211
813	919	210
814	919	208
815	920	207
816	921	206
817	922	205
818	922	203
819	923	202
820	924	201
821	925	200
822	926	199
823	927	198
824	929	197
825	930	196
826	931	194
827	932	193
828	933	192
829	934	191
830	935	190
831	936	189
832	937	187
833	938	186
834	939	185
835	940	184
836	940	183
837	942	182
838	943	180
839	944	179
840	945	178
841	946	177
842	947	176
843	948	175
844	949	174
845	950	173
846	951	171
847	952	170
848	953	169
849	954	168
850	955	167
851	955	166
852	957	164
853	958	163
854	960	162
855	961	161
856	962	160
857	963	159
858	964	158
859	966	157
860	968	156
861	968	155
862	969	153
863	970	152
864	971	151
865	973	150
866	975	149
867	977	148
868	977	147
869	978	146
870	979	145
871	980	143
872	981	142
873	982	141
874	983	140
875	983	139
876	984	138
877	985	136
878	986	135
879	988	134
880	989	133
881	991	132
882	992	131
883	993	130
884	994	129
885	995	128
886	997	127
887	998	125
888	999	124
889	1000	123
890	1001	122
891	1002	121
892	1003	120
893	1005	119
894	1006	118
895	1007	116
896	1008	115
897	1009	114
898	1010	113
899	1012	112
900	1013	111
901	1015	110
902	1017	109
903	1018	108
904	1020	107
905	1021	105
906	1022	104
907	1023	103
908	1024	102
909	1025	101
910	1026	100
911	1028	99
912	1030	98
913	1031	97
914	1033	95
915	1034	94
916	1035	93
917	1037	92
918	1038	91
919	1039	90
920	1040	89
921	1041	88
922	1043	87
923	1045	85
924	1047	84
925	1048	83
926	1049	82
927	1051	81
928	1052	80
929	1053	79
930	1054	78
931	1055	77
932	1057	75
933	1058	74
934	1059	73
935	1061	72
936	1063	71
937	1065	70
938	1066	69
939	1068	68
940	1069	67
941	1070	65
942	1071	64
943	1072	63
944	1074	62
945	1075	61
946	1077	60
947	1079	59
948	1081	58
949	1082	56
950	1084	55
951	1085	54
952	1086	53
953	1087	52
954	1089	51
955	1090	50
956	1092	49
957	1094	47
958	1095	46
959	1097	45
960	1098	44
961	1099	43
962	1101	42
963	1102	41
964	1103	40
965	1104	38
966	1105	37
967	1109	36
968	1111	35
969	1112	34
970	1114	33
971	1115	32
972	1116	30
973	1118	29
974	1119	28
975	1121	27
976	1123	26
977	1124	25
978	1127	24
979	1129	23
980	1130	21
981	1132	20
982	1133	19
983	1134	18
984	1135	17
985	1137	16
986	1138	15
987	1141	13
988	1143	12
989	1144	11
990	1145	10
991	1147	9
992	1148	8
993	1149	6
994	1150	5
995	1152	4
996	1154	3
997	1156	2
998	1158	1
999	1159	0
